Вінницький	Вінниця	Вінницька	49°14′14″ пн. ш. 28°28′02″ сх. д.
Гайсинський	Гайсин	Вінницька	48°48′37″ пн. ш. 29°23′03″ сх. д.
Жмеринський	Жмеринка	Вінницька	49°02′13″ пн. ш. 28°06′13″ сх. д.
Могилів-Подільський	Могилів-Подільський	Вінницька	48°27′18″ пн. ш. 27°48′29″ сх. д.
Тульчинський	Тульчин	Вінницька	48°40′28″ пн. ш. 28°50′59″ сх. д.
Хмільницький	Хмільник	Вінницька	49°33′25″ пн. ш. 27°57′26″ сх. д.
Володимирський	Володимир	Волинська	50°50′53″ пн. ш. 24°19′20″ сх. д.
Камінь-Каширський	Камінь-Каширський	Волинська	51°37′12″ пн. ш. 24°57′55″ сх. д.
Ковельський	Ковель	Волинська	51°13′09″ пн. ш. 24°41′16″ сх. д.
Луцький	Луцьк	Волинська	50°44′52″ пн. ш. 25°19′28″ сх. д.
Дніпровський	Дніпро	Дніпропетровська	48°27′58″ пн. ш. 35°01′31″ сх. д.
Кам'янський	Кам'янське	Дніпропетровська	48°31′44″ пн. ш. 34°35′49″ сх. д.
Криворізький	Кривий Ріг	Дніпропетровська	48°31′44″ пн. ш. 34°35′49″ сх. д.
Нікопольський	Нікополь	Дніпропетровська	47°34′38″ пн. ш. 34°21′27″ сх. д.
Новомосковський	Новомосковськ	Дніпропетровська	48°38′16″ пн. ш. 35°13′43″ сх. д.
Павлоградський	Павлоград	Дніпропетровська	48°31′12″ пн. ш. 35°52′12″ сх. д.
Синельниківський	Синельникове	Дніпропетровська	48°19′04″ пн. ш. 35°30′43″ сх. д.
Бахмутський	Бахмут	Донецька	NULL
Волноваський	Волноваха	Донецька	NULL
Горлівський	Горлівка	Донецька	NULL
Донецький	Донецьк	Донецька	NULL
Кальміуський	Кальміуське	Донецька	NULL
Краматорський	Краматорськ	Донецька	NULL
Маріупольський	Маріуполь	Донецька	NULL
Покровський	Покровськ	Донецька	NULL
Бердичівський	Бердичів	Житомирська	NULL
Житомирський	Житомир	Житомирська	NULL
Звягельський	Звягель	Житомирська	NULL
Коростенський	Коростень	Житомирська	NULL
Берегівський	Берегове	Закарпатська	48°12′09″ пн. ш. 22°38′15″ сх. д.
Мукачівський	Мукачево	Закарпатська	48°26′29″ пн. ш. 22°42′49″ сх. д.
Рахівський	Рахів	Закарпатська	48°03′00″ пн. ш. 24°13′00″ сх. д.
Тячівський	Тячів	Закарпатська	48°00′58″ пн. ш. 23°34′19″ сх. д.
Ужгородський	Ужгород	Закарпатська	48°37′26″ пн. ш. 22°17′42″ сх. д.
Хустський	Хуст	Закарпатська	48°10′27″ пн. ш. 23°17′23″ сх. д.
Бердянський	Бердянськ	Запорізька	NULL
Василівський	Василівка	Запорізька	NULL
Запорізький	Запоріжжя	Запорізька	NULL
Мелітопольський	Мелітополь	Запорізька	NULL
Пологівський	Пологи	Запорізька	NULL
Верховинський	смт Верховина	Івано-Франківська	48°09′06″ пн. ш. 24°48′49″ сх. д.
Івано-Франківський	Івано-Франківськ	Івано-Франківська	48°55′22″ пн. ш. 24°42′38″ сх. д.
Калуський	Калуш	Івано-Франківська	49°02′39″ пн. ш. 24°21′35″ сх. д.
Коломийський	Коломия	Івано-Франківська	48°32′30″ пн. ш. 25°02′19″ сх. д.
Косівський	Косів	Івано-Франківська	48°18′54″ пн. ш. 25°05′43″ сх. д.H
Надвірнянський	Надвірна	Івано-Франківська	48°37′49″ пн. ш. 24°34′45″ сх. д.
Білоцерківський	Біла Церква	Київська	NULL
Бориспільський	Бориспіль	Київська	NULL
Броварський	Бровари	Київська	NULL
Бучанський	Буча	Київська	NULL
Вишгородський	Вишгород	Київська	NULL
Обухівський	Обухів	Київська	NULL
Фастівський	Фастів	Київська	NULL
Голованівський	смт Голованівськ	Кіровоградська	NULL
Кропивницький	Кропивницький	Кіровоградська	NULL
Новоукраїнський	Новоукраїнка	Кіровоградська	NULL
Олександрійський	Олександрія	Кіровоградська	NULL
Алчевський	Алчевськ	Луганська	NULL
Довжанський	Довжанськ	Луганська	NULL
Луганський	Луганськ	Луганська	NULL
Ровеньківський	Ровеньки	Луганська	NULL
Сватівський	Сватове	Луганська	NULL
Сєвєродонецький	Сєвєродонецьк	Луганська	NULL
Старобільський	Старобільськ	Луганська	NULL
Щастинський	смт Новоайдар	Луганська	NULL
Дрогобицький	Дрогобич	Львівська	49°21′00″ пн. ш. 23°30′00″ сх. д.
Золочівський	Золочів	Львівська	49°48′22″ пн. ш. 24°53′47″ сх. д.
Львівський	Львів	Львівська	49°50′33″ пн. ш. 24°01′56″ сх. д.
Самбірський	Самбір	Львівська	49°31′00″ пн. ш. 23°12′00″ сх. д.
Стрийський	Стрий	Львівська	49°15′00″ пн. ш. 23°51′00″ сх. д.
Червоноградський	Червоноград	Львівська	50°23′12″ пн. ш. 24°13′44″ сх. д.
Яворівський	Яворів	Львівська	49°56′23″ пн. ш. 23°23′09″ сх. д.
Баштанський	Баштанка	Миколаївська	NULL
Вознесенський	Вознесенськ	Миколаївська	NULL
Миколаївський	Миколаїв	Миколаївська	NULL
Первомайський	Первомайськ	Миколаївська	NULL
Березівський	Березівка	Одеська	47°12′02″ пн. ш. 30°55′02″ сх. д.
Білгород-Дністровський	Білгород-Дністровський	Одеська	46°11′32″ пн. ш. 30°20′00″ сх. д.
Болградський	Болград	Одеська	45°40′02″ пн. ш. 28°36′46″ сх. д.
Ізмаїльський	Ізмаїл	Одеська	45°21′29″ пн. ш. 28°50′44″ сх. д.
Одеський	Одеса	Одеська	46°29′08″ пн. ш. 30°44′36″ сх. д.
Подільський	Подільськ	Одеська	47°44′31″ пн. ш. 29°32′06″ сх. д.
Роздільнянський	Роздільна	Одеська	46°51′07″ пн. ш. 30°04′28″ сх. д.
Кременчуцький	Кременчук	Полтавська	NULL
Лубенський	Лубни	Полтавська	NULL
Миргородський	Миргород	Полтавська	NULL
Полтавський	Полтава	Полтавська	NULL
