Барський	Бар	Вінницька	NULL
Бершадський	Бершадь	Вінницька	NULL
Вінницький	Вінниця	Вінницька	49.23722222222222,28.46722222222222
Гайсинський	Гайсин	Вінницька	48.81027777777778,29.384166666666665
Жмеринський	Жмеринка	Вінницька	49.036944444444444,28.103611111111114
Іллінецький	Іллінці	Вінницька	NULL
Калинівський	Калинівка	Вінницька	NULL
Козятинський	Козятин	Вінницька	NULL
Крижопільський	Крижопіль	Вінницька	NULL
Липовецький	Липовець	Вінницька	NULL
Літинський	Літин	Вінницька	NULL
Могилів-Подільський	Могилів-Подільський	Вінницька	48.455000000000005,27.808055555555555
Мурованокуриловецький	Муровані Курилівці	Вінницька	NULL
Немирівський	Немирів	Вінницька	NULL
Оратівський	Оратів	Вінницька	NULL
Піщанський	Піщанка	Вінницька	NULL
Погребищенський	Погребище	Вінницька	NULL
Теплицький	Теплик	Вінницька	NULL
Тиврівський	Тиврів	Вінницька	NULL
Томашпільський	Томашпіль	Вінницька	NULL
Тростянецький	Тростянець	Вінницька	NULL
Тульчинський	Тульчин	Вінницька	48.67444444444444,28.849722222222223
Хмільницький	Хмільник	Вінницька	49.55694444444444,27.95722222222222
Чернівецький	Чернівці	Вінницька	NULL
Чечельницький	Чечельник	Вінницька	NULL
Шаргородський	Шаргород	Вінницька	NULL
Ямпільський	Ямпіль	Вінницька	NULL
Володимир-Волинський	Володимир-Волинський	Волинська	NULL
Володимирський	Володимир	Волинська	50.84805555555556,24.322222222222223
Горохівський	Горохів	Волинська	NULL
Іваничівський	Іваничі	Волинська	NULL
Камінь-Каширський	Камінь-Каширський	Волинська	51.62,24.96527777777778
Ківерцівський	Ківерці	Волинська	NULL
Ковельський	Ковель	Волинська	51.219166666666666,24.68777777777778
Локачинський	Локачі	Волинська	NULL
Луцький	Луцьк	Волинська	50.74777777777778,25.324444444444445
Любешівський	Любешів	Волинська	NULL
Любомльський	Любомль	Волинська	NULL
Маневицький	Маневичі	Волинська	NULL
Ратнівський	Ратне	Волинська	NULL
Рожищенський	Рожище	Волинська	NULL
Старовижівський	Стара Вижівка	Волинська	NULL
Турійський	Турійськ	Волинська	NULL
Шацький	Шацьк	Волинська	NULL
Амур-Нижньодніпровський	Дніпро	Дніпропетровська	NULL
Апостолівський	Апостолове	Дніпропетровська	NULL
