Справа №: 307/4649/22
Провадження № 3/307/1836/22
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
28 листопада 2022 року м. Тячів
Суддя Тячівського районного суду Закарпатської області Стецюк М. Д., розглянувши матеріали, які надійшли від відділу прикордонної служби «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності ОСОБА_1, ІНФОРМАЦІЯ_3, громадянина України, уродженця та жителя АДРЕСА_1, не працюючого,
за вчинене правопорушення, передбачене ч. 1 ст. 204-1 Кодексу України про адміністративні правопорушення,
ВСТАНОВИВ:
Згідно протоколу про адміністративне правопорушення серія ЗхРУ № 006778 від 19 листопада 2022 року вбачається, що ОСОБА_1, 19 листопада 2022 року близько 14 год. 55 хв. на напрямку № 262 прикордонного знаку (територія Тячівської обʼєднаної територіальної громади Тячівського району Закарпатської області) на відстані 80 метрів від лінії державного кордону був виявлений та в подальшому затриманий за спробу незаконного перетину державного кордону з України до Румунії поза пунктами пропуску через державний кордон. Таким чином, останній своїми діями порушив вимоги ст. 9, 12 Закону України «Про державний кордон України» від 04 листопада 1991 року та вчинив адміністративне правопорушення відповідальність за яке передбачено ч. 1 ст. 204-1 КУпАП.
Протокол про адміністративне правопорушення надійшов до суду 22 листопада 2022 року і до матеріалів справи долучено заяву ОСОБА_1 про розгляд справи за його відсутності.
ОСОБА_1 у судове засідання 22 листопада 2022 року не зʼявився, у звʼязку з неявкою особи, яка притягається до адміністративної відповідальності розгляд справи відкладено на 23 листопада 2022 року та повідомлено ОСОБА_1 про розгляд справи на офіційному веб-порталі судової влади України, що підтверджується відповідним оголошенням та за допомогою смс-повідомлення.
23 листопада 2022 року ОСОБА_1 в судове засідання не зʼявився, у звʼязку з неявкою особи, яка притягається до адміністративної відповідальності, розгляд справи відкладено на 24 листопада 2022 року та повідомлено ОСОБА_1 про розгляд справи на офіційному веб-порталі судової влади України, що підтверджується відповідним оголошенням та за допомогою смс-повідомлення.
24 листопада 2022 року судове засідання по справі не відбулося, у звʼязку із відсутністю електроенергії у Тячівському районному суді Закарпатської області, у звʼязку із наведеним, розгляд справи було відкладено на 28 листопада 2022 року та повідомлено ОСОБА_1 про розгляд справи на офіційному веб-порталі судової влади України, що підтверджується відповідним оголошенням та за допомогою смс-повідомлення.
28 листопада 2022 року ОСОБА_1 в судове засідання не зʼявився, про дату, час та місце розгляду справи повідомлявся належним чином, про причини своєї неявки суду не повідомив, клопотання про відкладення розгляду справи від нього не надходило.
Дослідивши матеріали справи про адміністративне правопорушення суд прийшов до наступного висновку.
Відповідно до ст. 245 КУпАП, завданням провадження у справі про адміністративне правопорушення є: своєчасне, всебічне, повне і обʼєктивне зʼясування обставин кожної справи, вирішення її в точній відповідності з законом.
Згідно ст. 251 КУпАП, доказами у справі про адміністративне правопорушення є будь-які фактичні дані, на основі яких у визначеному законом порядку орган (посадова особа) встановлює наявність чи відсутність адміністративного правопорушення, винність даної особи в його вчиненні та інші обставини, що мають значення для правильного вирішення справи. Ці дані встановлюються протоколом про адміністративне правопорушення, поясненнями особи, яка притягується до адміністративної відповідальності, потерпілих, свідків, висновком експерта, речовими доказами, показаннями технічних приладів та технічних засобів, які використовуються при нагляді за виконанням правил, що мають функції фото - і кінозйомки, відеозапису чи засобів фото і кінозйомки, відеозапису, норм і стандартів, що стосуються забезпечення безпеки дорожнього руху, а також іншими документами.
Відповідно до положення ст. 280 КУпАП, орган (посадова особа) при розгляді справи про адміністративне правопорушення зобовʼязаний зʼясувати: чи було вчинено адміністративне правопорушення, чи винна дана особа в його вчиненні, чи підлягає вона адміністративній відповідальності, чи є обставини, що помʼякшують і обтяжують відповідальність, а також зʼясувати інші обставини, що мають значення для правильного вирішення справи.
Частиною 1 ст. 204-1 КУпАП передбачено адміністративну відповідальність за перетинання або спробу перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України або в пунктах пропуску через державний кордон України без відповідних документів або з використанням підробленого документа чи таких, що містять недостовірні відомості про особу, чи без дозволу відповідних органів влади.
В протоколі про адміністративне правопорушення серії ЗхРУ № 006778 від 19 листопада 2022 року, зазначено, що 19 листопада 2022 року близько 14 год. 55 хв., на напрямку № 262 прикордонного знаку (територія Тячівської обʼєднаної територіальної громади Тячівського району Закарпатської області) на відстані 80 метрів від лінії державного кордону, було виявлено та затримано ОСОБА_1 за спробу незаконного перетину державного кордону з України до Румунії поза пунктами пропуску через державний кордон.
Із протоколу затримання від 19 листопада 2022 року відомо, що ОСОБА_1 був затриманий о 14 год. 55 хв. 19 листопада 2022 року на строк до трьох діб з метою зʼясування обставин правопорушення.
Проте, у протоколі про адміністративне правопорушення, який надійшов до суду, не зазначено яким чином було встановлено, що ОСОБА_1 намагався незаконно, поза пунктами пропуску через державний кордон, перетнути державний кордон з України до Румунії.
Водночас, суд зазначає, що ні схеми правопорушення, на якій зафіксовані умовні позначки місця вчинення правопорушення, місця розташування, маршрут руху порушника та лінію державного кордону, чи інших беззаперечних доказів, які б вказували на причетність ОСОБА_1 до інкримінованого йому правопорушення не надано.
Також, суд зазначає, що наявними в матеріалах справи про адміністративне правопорушення факт спроби перетинання кордону ОСОБА_1 не зафіксовано, і у матеріалах справи відсутні обʼєктивні дані, котрі беззаперечно вказують на те, що було вчинено адміністративне правопорушення та ОСОБА_1 винний у його вчиненні.
З пояснень начальника відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_1» відділу прикордонної служби «ІНФОРМАЦІЯ_1» (тип Б) ОСОБА_2 від 19 листопада 2022 року, вбачається, що під час виконання наказу на охорону державного кордону в прикордонному наряді «Група реагування», на напрямку № 262 прикордонного знаку, був виявлений ОСОБА_1, житель с. Богунове, Іванівського району, Одеської області, який прибув до околиці м. Тячів, і під час перевірки документів, не зміг вказати мети знаходження поза містом в прикордонній смузі, та в ході фільтраційних заходів повідомив, що має бажання перетнути кордон з України до Румунії, після чого з Румунії до Чехії, у звʼязку із навчанням, а тому можливо буде вимушений зробити це поза пунктами пропуску.
При цьому, згідно письмових пояснень ОСОБА_1 від 19 листопада 2022 року, вбачається, що він був затриманий на блокпосту поблизу м. Тячів, їхав з м. Ужгорода до смт. Солотвино, автобусом по маршуту Ужгород-Рахів.
За таких обставин, всі перераховані вище доводи, у своїй сукупності, дають суду підстави прийти до висновку про недоведеність того, що ОСОБА_1 у зазначені в протоколі час та місці, дійсно здійснив спробу незаконного перетинання державного кордону України, а встановлена невідповідність даних протоколу про адміністративне правопорушення обʼєктивним обставинам справи вказують на відсутність доказів на підтвердження винуватості ОСОБА_1 у інкримінованому йому діянні за ч.1 ст.204-1 КУпАП.
Відповідно до ст. 284 КУпАП, по справі про адміністративне правопорушення, орган (посадова особа) виносить одну з таких постанов: 1) про накладення адміністративного стягнення; 2) про застосування заходів впливу, передбачених статтею 24-1 цього Кодексу; 3) про закриття справи.
Згідно п. 1 ч.1 ст. 247 Кодексу України про адміністративні правопорушення, провадження, по справі про адміністративне правопорушення не може бути розпочато, а розпочате підлягає закриттю за відсутністю події і складу адміністративного правопорушення.
Враховуючи встановлені судом обставини, суд прийшов до висновку, що в діях ОСОБА_1, відсутній склад адміністративного правопорушення передбаченого ч. 1 ст. 204-1 КУпАП, що у відповідності до п. 1 ч. 1 ст. 247 КУпАП є підставою для закриття провадження у справі.
Таким чином, справа про адміністративне правопорушення відносно ОСОБА_1, за частиною 1 статті 204-1 КУпАП підлягає закриттю відповідно до п. 1 ч. 1 ст. 247 КУпАП.
З огляду на закриття провадження у справі без накладення на особу, яка притягається до адміністративної відповідальності, адміністративного стягнення, судовий збір, в порядкуст.40-1 КУпАП, стягненню не підлягає.
Керуючись ст. ст. 247, 283, 284 КУпАП, -
ПОСТАНОВИВ:
Провадження у справі про притягнення ОСОБА_1 до адміністративної відповідальності за вчинення адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП, закрити на підставі п. 1 ч. 1 ст. 247 КУпАП, у звʼязку з відсутністю у його діях події та складу адміністративного правопорушення.
На постанову може бути подана апеляційна скарга до Закарпатського апеляційного суду через Тячівський районний суд Закарпатської області протягом десяти днів з дня винесення постанови.
Суддя: М. Д. Стецюк
=== ENTITIES ===
1:11    CASE_NUMBER        307/4649/22
5:1     HEARING_DATE       28 листопада 2022
6:7     COURT_RAYON        Тячівського
6:34    COURT_OBLAST       Закарпатської
6:139   VPS                ІНФОРМАЦІЯ_1
6:254   CITIZEN            України
9:59    PROTOCOL           ЗхРУ № 006778
9:77    PROTO_DATE         19 листопада 2022
9:124   ARR_DATE           19 листопада 2022
9:155   ARR_TIME           14 год. 55 хв.
9:184   ZNAK               262
9:219   ARR_GROMADA        Тячівської
9:264   ARR_RAYON          Тячівського
9:283   ARR_OBLAST         Закарпатської
9:318   DIST               80 метрів
9:461   BORDER_CNTRY       Румунії
20:54   PROTOCOL           ЗхРУ № 006778
20:72   PROTO_DATE         19 листопада 2022
20:110  ARR_DATE           19 листопада 2022
20:141  ARR_TIME           14 год. 55 хв.
20:171  ZNAK               262
20:206  ARR_GROMADA        Тячівської
20:251  ARR_RAYON          Тячівського
20:270  ARR_OBLAST         Закарпатської
20:305  DIST               80 метрів
20:443  BORDER_CNTRY       Румунії
21:29   DET_DATE           19 листопада 2022
21:88   DET_TIME           14 год. 55 хв.
21:103  DET_DATE           19 листопада 2022
22:240  BORDER_CNTRY       Румунії
25:67   VPS                ІНФОРМАЦІЯ_1
25:110  VPS                ІНФОРМАЦІЯ_1
25:262  GUARD              Група реагування
25:295  ZNAK               262
25:428  ARR_SETTL          Тячів
25:622  BORDER_CNTRY       Румунії
26:108  ARR_PLACE          на блокпосту
26:132  ARR_SETTL          Тячів
35:165  RESOLUTION         закрити
