Справа №: 307/5313/23
Провадження № 3/307/1966/23
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
17 листопада 2023 року м. Тячів
Суддя Тячівського районного суду Закарпатської області Сойма М. М., розглянувши справу, яка надійшла із відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_1» (тип Б) відділу прикордонної служби «ІНФОРМАЦІЯ_2» (тип Б) ІНФОРМАЦІЯ_3 про притягнення до адміністративної відповідальності ОСОБА_1, ІНФОРМАЦІЯ_4, громадянина України, місце роботи ФОП «ОСОБА_2», місце проживання: АДРЕСА_1, за ч. 1 ст. 204-1 КУпАП,
ВСТАНОВИВ:
ОСОБА_1 26 жовтня 2023 року близько 12 год. 20 хв. прикордонним нарядом «Прикордонний патруль» від відділення інспекторів прикордонної служби «ІНФОРМАЦІЯ_1» (тип Б) відділу прикордонної служби «ІНФОРМАЦІЯ_2» (тип Б) на західній околиці населенного пункту смт. Солотвино, в межах прикордонної смуги, на напрямку прикордонного знаку № 290 (територія Солотвинської обʼєднаної територіальної громади Тячівського району Закарпатської області) на відстані 500 метрів до лінії державного кордону був виявлений та затриманий за спробу незаконного перетину державного кордону з України до Румунії поза пунктами пропуску через державний кордон України, чим порушив вимоги ст. 9, ст. 12 Закону України «Про державний кордон України» від 04 листопада 1991 року, відповідальність за що передбачена ч. 1 ст. 204-1 КУпАП.
ОСОБА_1 на розгляд справи не зʼявився, позаяк подав суду заяву про розгляд справи в його відсутності.
Розглянувши справу про адміністративне правопорушення та дослідивши матеріали справи, суд дійшов висновку, що в діях ОСОБА_1 є склад адміністративного правопорушення, передбачений ч. 1 ст. 204-1 КУпАП як спроба перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України.
Судом встановлено, що вина ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП стверджується:
- даними, що містяться у протоколі про адмінправопорушення серії ЗхРУ № 149893 від 27 жовтня 2023 року, в протоколі про адміністративне затримання від 26 жовтня 2023 року, протоколі особистого огляду, огляду речей та вилучення речей і документів від 26 жовтня 2023 року та в письмовому поясненні військовослужбовця ОСОБА_3 від 26 жовтня 2023 року.
Враховуючи вимоги ст. 33 КУпАП, особу правопорушника, який вперше притягається до адміністративної відповідальності, обставини вчинення ним правопорушення, вважаю, що відносно ОСОБА_1 слід обрати міру адміністративного стягнення за ч. 1 ст. 204-1 КУпАП у виді штрафу без конфіскації знарядь і засобів вчинення правопорушення, оскільки такі знаряддя та засоби відсутні.
Відповідно до ст. 40-1 КУпАП із ОСОБА_1 слід стягнути судовий збір на користь держави.
Керуючись ч. 1 ст. 204-1, ст. ст. 283, 284 КУпАП, суд,
ПОСТАНОВИВ:
Визнати ОСОБА_1 винним у вчиненні адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП.
Накласти на ОСОБА_1 за ч. 1 ст. 204-1 КУпАП адміністративне стягнення у виді штрафу в розмірі двохсот неоподатковуваних мінімумів доходів громадян, що становить 3 400,00 (Три тисячі чотириста гривень 00 копійок) гривень без конфіскації знарядь і засобів вчинення правопорушення.
Стягнути із ОСОБА_1 на користь держави судовий збір у розмірі 536, 80 гривень (Пʼятсот тридцять шість гривень 80 коп.) до ГУК у м. Києві /м. Київ/ 22030106, код отримувача (код ЄДРПОУ 37993783), банк отримувача: Казначейство України (ЕАП), рахунок отримувача UA908999980313111256000026001, код класифікації доходів бюджету: 22030106.
Постанова може бути оскаржена до Закарпатського апеляційного суду протягом 10 днів з дня її винесення.
Постанова набирає законної сили після закінчення строку її оскарження.
Суддя Тячівського районного суду
Закарпатської області: Сойма М. М.
=== ENTITIES ===
1:11    CASE_NUMBER        307/5313/23
5:1     HEARING_DATE       17 листопада 2023
6:7     COURT_RAYON        Тячівського
6:34    COURT_OBLAST       Закарпатської
6:149   VPS                ІНФОРМАЦІЯ_1
6:200   VPS                ІНФОРМАЦІЯ_2
6:323   CITIZEN            України
8:9     ARR_DATE           26 жовтня 2023
8:37    ARR_TIME           12 год. 20 хв.
8:74    GUARD              Прикордонний патруль
8:144   VPS                ІНФОРМАЦІЯ_1
8:195   VPS                ІНФОРМАЦІЯ_2
8:217   ARR_PLACE          на західній околиці
8:261   ARR_SETTL          Солотвино
8:334   ZNAK               290
8:349   ARR_GROMADA        Солотвинської
8:397   ARR_RAYON          Тячівського
8:416   ARR_OBLAST         Закарпатської
8:451   DIST               500 метрів
8:581   BORDER_CNTRY       Румунії
12:66   PROTOCOL           ЗхРУ № 149893
12:84   PROTO_DATE         27 жовтня 2023
12:152  DET_DATE           26 жовтня 2023
18:78   RESOLUTION         штрафу
18:162  FINE               3 400,00
22:7    COURT_RAYON        Тячівського
23:1    COURT_OBLAST       Закарпатської
