Справа №: 297/1064/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
07 березня 2024 року м. Берегове
Суддя Берегівського районного суду Закарпатської області Гал Л. Л., розглянувши матеріали, що надійшли з відділу прикордонної служби «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності:
ОСОБА_1, ІНФОРМАЦІЯ_3, уродженця м. Берегове, зі слів мешканця АДРЕСА_1, громадянина України, непрацюючого,
за ст. 204-1 ч. 2 КУпАП,
ВСТАНОВИВ:
21 вересня 2023 року близько 20:25 годин на напрямку 259 прикордонного знаку (територія Косоньської ОТГ), на відстані близько 800 метрів від лінії державного кордону, прикордонним нарядом був виявлений та затриманий громадянин України ОСОБА_1, який спільно із ОСОБА_2, ОСОБА_3, ОСОБА_4 намагався незаконно перетнути державний кордон України з Угорщиною поза пунктом пропуску, чим порушив статті 9, 12 Закону України «Про державний кордон України» від 04.11.1991 року, тобто вчинив правопорушення, відповідальність за яке передбачена ч. 2 ст. 204-1 КУпАП, а саме здійснив спробу незаконного перетину державного кордону з України в Угорщину поза пунктом пропуску через державний кордон України в складі групи осіб.
В суд ОСОБА_1 не зʼявився.
Перевіривши матеріали справи, а саме: протокол про адміністративне затримання від 21.09.2023 року, протокол про адміністративне правопорушення від 22.09.2023 року, вважаю, що ОСОБА_1 своїми діями скоїв правопорушення передбачене ч.2 ст. 204-1 КУпАП, як спроба незаконного перетину державного кордону з України в Угорщину поза пунктом пропуску через державний кордон України в складі групи осіб.
Згідно ч. 2 ст. 38 КУпАП адміністративне стягнення може бути накладено не пізніш як через три місяці з дня вчинення правопорушення.
Встановлено, що адміністративне правопорушення було скоєно 21.09.2023 року, тобто пройшло вже більше трьох місяців з дня вчинення адміністративного правопорушення, тому відповідно до п. 7 ст. 247 КУпАП України дана справа підлягає закриттю у звʼязку із спливом строку накладення адміністративного стягнення.
Керуючись ст. ч. 2 ст. 38, ч. 2 ст. 204-1, п. 7 ст. 247, ст. 277, 283, п. 1 ст. 284 КУпАП,
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні правопорушення передбаченого ч. 2 ст. 204-1 КУпАП, а справу закрити у звʼязку із спливом строку накладення адміністративного стягнення.
Постанова може бути оскаржена особою, яку притягнуто до адміністративної відповідальності протягом десяти днів з дня винесення постанови через цей суд до Закарпатського апеляційного суду.
Суддя Лайош ГАЛ
=== ENTITIES ===
1:11    CASE_NUMBER        297/1064/24
4:1     HEARING_DATE       07 березня 2024
5:7     COURT_RAYON        Берегівського
5:36    COURT_OBLAST       Закарпатської
5:135   VPS                ІНФОРМАЦІЯ_1
6:37    BIRTH_SETTL        Берегове
6:86    CITIZEN            України
9:1     ARR_DATE           21 вересня 2023
9:30    ARR_TIME           20:25 годин
9:54    ZNAK               259
9:89    ARR_GROMADA        Косоньської
9:127   DIST               800 метрів
9:228   CITIZEN            України
9:344   BORDER_CNTRY       Угорщиною
9:631   BORDER_CNTRY       Угорщину
11:83   DET_DATE           21.09.2023
11:148  PROTO_DATE         22.09.2023
11:313  BORDER_CNTRY       Угорщину
16:95   RESOLUTION         закрити
