Справа №: 307/1322/22
Провадження № 3/307/648/22
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
27 квітня 2022 року м. Тячів
Суддя Тячівського районного суду Закарпатської області Сас Л. Р., за участю особи, яка притягається до адміністративної відповідальності ОСОБА_1 та його захисника адвоката Варги Д. Д., розглянувши справу про притягнення до адміністративної відповідальності за ч. 2 ст. 204-1 Кодексу України про адміністративні правопорушення
ОСОБА_1, ІНФОРМАЦІЯ_1, громадянина України, жителя АДРЕСА_1, непрацюючого,
ВСТАНОВИЛА:
Згідно протоколу про адміністративне правопорушення, складеного начальником відділення інспекторів прикордонної служби «Грушово» (тип В) відділу прикордонної служби «Тячів» Семененком В. В., ОСОБА_1 22 квітня 2022 року о 19 год. 20 хв., спільно з громадянином України ОСОБА_2 на напрямку № 277 прикордонного знаку (територія Тересвянської обʼєднаної територіальної громади Тячівського району Закарпатської області) порушив вимоги ст. 9 і ст. 12 Закону України «Про державний кордон України» від 4 листопада 1991 року, а саме, на відстані 100 метрів від лінії державного кордону України здійснив спробу незаконного перетинання державного кордону з України до Румунії поза пунктами пропуску через державний кордон України групою осіб, однак спільно із ОСОБА_2 були виявлені та затримані прикордонним нарядом «Прикордонний патруль» від відділення інспекторів прикордонної служби «Грушово» (тип В), тобто вчинив адміністративне правопорушення, передбачене ч. 2 ст. 204-1 КУпАП.
Під час розгляду справи ОСОБА_1 винуватим себе не визнав та пояснив, що 22 квітня 2022 року близько 19 год. він із своїм знайомим ОСОБА_2 вирішили піти на свої земельні ділянки, які перебувають у їх постійному користуванні та знаходяться в прикордонній смузі. На мості працівники прикордонної служби перевірили документи, що посвідчують особу і їх пропустили. Однак, коли вони поверталися назад додому їх затримав інший прикордонний наряд.
Дослідивши матеріали справи, слід дійти висновку про закриття вказаної справи про адміністративне правопорушення у звʼязку з відсутністю в діях ОСОБА_1 складу адміністративного правопорушення керуючись таким.
Статтею 6 Конвенції про захист прав людини і основоположних свобод, ратифікованої Законом України від 17.07.97 № 475/97-ВР визначено, що кожен має право на справедливий і публічний розгляд його справи упродовж розумного строку незалежним і безстороннім судом, встановленим законом, який вирішить спір щодо його прав та обовʼязків цивільного характеру або встановить обґрунтованість будь-якого висунутого проти нього кримінального обвинувачення.
Згідно ст. 245 КУпАП завданнями провадження в справах про адміністративні правопорушення є: своєчасне, всебічне, повне і обʼєктивне зʼясування обставин кожної справи, вирішення її в точній відповідності з законом, забезпечення виконання винесеної постанови, а також виявлення причин та умов, що сприяють вчиненню адміністративних правопорушень, запобігання правопорушенням, виховання громадян у дусі додержання законів, зміцнення законності.
Відповідно до ст. 280 цього Кодексу орган (посадова особа) при розгляді справи про адміністративне правопорушення зобовʼязаний зʼясувати: чи було вчинено адміністративне правопорушення, чи винна дана особа в його вчиненні, чи підлягає вона адміністративній відповідальності, чи є обставини, що помʼякшують і обтяжують відповідальність, чи заподіяно майнову шкоду, чи є підстави для передачі матеріалів про адміністративне правопорушення на розгляд громадської організації, трудового колективу, а також зʼясувати інші обставини, що мають значення для правильного вирішення справи.
Статтями 251 та 252 КУпАП встановлено, що доказами в справі про адміністративне правопорушення є будь-які фактичні дані, на основі яких у визначеному законом порядку орган (посадова особа) встановлює наявність чи відсутність адміністративного правопорушення, винність даної особи в його вчиненні та інші обставини, що мають значення для правильного вирішення справи.
Ці дані встановлюються протоколом про адміністративне правопорушення, поясненнями особи, яка притягається до адміністративної відповідальності, потерпілих, свідків, висновком експерта, речовими доказами, показаннями технічних приладів та технічних засобів, що мають функції фото- і кінозйомки, відеозапису, у тому числі тими, що використовуються особою, яка притягається до адміністративної відповідальності, або свідками, а також працюючими в автоматичному режимі, чи засобів фото- і кінозйомки, відеозапису, у тому числі тими, що використовуються особою, яка притягається до адміністративної відповідальності, або свідками, а також працюючими в автоматичному режимі, які використовуються при нагляді за виконанням правил, норм і стандартів, що стосуються забезпечення безпеки дорожнього руху, протоколом про вилучення речей і документів, а також іншими документами.
Орган (посадова особа) оцінює докази за своїм внутрішнім переконанням, що ґрунтується на всебічному, повному і обʼєктивному дослідженні всіх обставин справи в їх сукупності, керуючись законом і правосвідомістю.
Із протоколу про адміністративне правопорушення видно, що ОСОБА_1 22 квітня 2022 року о 19 год. 20 хв., спільно з громадянином України ОСОБА_2 на напрямку № 277 прикордонного знаку (територія Тересвянської обʼєднаної територіальної громади Тячівського району Закарпатської області) порушив вимоги ст. 9 і ст. 12 Закону України «Про державний кордон України» від 4 листопада 1991 року, а саме, на відстані 100 метрів від лінії державного кордону України здійснив спробу незаконного перетинання державного кордону з України до Румунії поза пунктами пропуску через державний кордон України групою осіб, однак спільно із ОСОБА_2 були виявлені та затримані прикордонним нарядом «Прикордонний патруль» від відділення інспекторів прикордонної служби «Грушово» (тип В) (а.с. 2).
Із протоколу затримання від 22 квітня 2022 року відомо, що ОСОБА_1 був затриманий о 19 год. 20 хв. 22 квітня 2022 року на строк до трьох діб з метою зʼясування обставин правопорушення (а. с. 1).
Із рапорту, складеного начальником групи дільничних інспекторів прикордонної служби відділення інспекторів прикордонної служби «Грушово» (тип В) відділу прикордонної служби «Тячів» (тип Б) Ісаком В. М. 22 квітня 2022 року видно, що він разом із солдатом ОСОБА_3 та сержантом ОСОБА_4 з 15 год. по 20 год. 22 квітня 2022 року виконував наказ щодо охорони державного кордону України. О 19 год. 00 хв. надійшла оперативна інформація від ПОРВ (м.д.н.п. Тячів) про те, що дві особи прямують в сторону державного кордону з метою перетину лінії державного кордону. В подальшому о 19 год. 20 хв. ним було виявлено та затримано групу осіб, що намагалися перетнути державний кордон на напрямку прикордонного знаку № 277, на відстані 100 метрів від лінії державного кордону на території Тересвянської обʼєднаної територіальної громади Тячівського району Закарпатської області, в межах прикордонної смуги. Під час виявлення особи намагалися втекти, після затримання заявили, що на даній ділянці збирають салат (а. с. 6).
Із схеми виникнення обстановки в районі населеного пункту Тячів Тячівського району Закарпатської області (ділянка ВІПС «Грушово» ВПС «Тячів» Мукачівського загону) 22 квітня 2022 року видно, що о 19 год. 20 хв. 22 квітня 2022 року надійшла доповідь про затримання на напрямку 277 прикордонного знаку, на відстані 100 метрів від державного кордону двох осіб громадян України призовного віку; ВІПС «Грушово» до прикордонного знаку № 277 складає 4200 метрів, ділянка державного кордону на даному напрямку проходить по річці Тиса, ширина до 60 метрів, глибина до 1,5-2 метрів; направлено ГрР у складі Семененко+3 на транспортному засобі «ГАЗ» АО 128 В та с/с «МЕН» із завданням перевірки берегової відмілини та тилових підступів в межах прикордонного знаку № 277; піднято резерв 1-ї черги в складі ЗНВІПС з П Шачнєв+5 на транспортному засобі «Рено Дастер» НОМЕР_1 із завданням прикриття тилових підступів на напрямку прикордонних знаків № 276-278, визначено додаткові завдання та проінформовано сусідні підрозділи, взаємодіючі органи, ВВВБ по 27 прикордонному загону (а. с. 8).
Крім цього, із посвідчення, виданого Тячівською районною державною адміністрацією 17 вересня 2018 року видно, що ОСОБА_1 та ОСОБА_5 є батьками трьох неповнолітніх дітей: ОСОБА_6, ІНФОРМАЦІЯ_2, ОСОБА_7, ІНФОРМАЦІЯ_3 та ОСОБА_8, ІНФОРМАЦІЯ_4 і мають право на пільги, передбачені законодавством України для багатодітних сімей (а. с. 22).
Із довідки № 03-2-13 від 26 квітня 2022 року, виданої виконкомом Тересвянської селищної ради Закарпатської області Тячівського району видно, що ОСОБА_1, житель АДРЕСА_1 дійсно користується земельною ділянкою площею 0,18 га в с. Грушово «Урочище за водою» (а. с. 26).
За наведеного, відсутні докази про те, що ОСОБА_1 вчинив спробу незаконно перетнути державний кордон з України до Румунії поза пунктами пропуску через державний кордон України групою осіб.
Згідно ст. 9 КУпАП адміністративним правопорушенням (проступком) визнається протиправна, винна (умисна або необережна) дія чи бездіяльність, яка посягає на громадський порядок, власність права і свободи громадян, на встановлений порядок управління і за яку законом передбачено адміністративну відповідальність.
Відповідно до ч. 3 ст. 62 Конституції України обвинувачення не може ґрунтуватися на доказах, одержаних незаконним шляхом, а також на припущеннях. Усі сумніви щодо доведеності вини особи тлумачаться на її користь.
Оскільки, склад правопорушення - це наявність обʼєктивних та субʼєктивних ознак, за наявності яких діяння вважається адміністративним правопорушенням та відсутність хоча б однієї з ознак означає відсутність складу в цілому, та оскільки, обʼєктом правопорушення за ст. 204-1 КУпАП є особливі суспільні відносини у сфері охорони державного кордону, а обʼєктивна сторона правопорушення виражається у перетинанні або спробі перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України або в пунктах пропуску через державний кордон України без відповідних документів або за документами, що містять недостовірні відомості про особу, чи без дозволу відповідних органів влади (формальний склад), то з урахуванням наведеного, суд дійшов висновку про відсутність обʼєкта та обʼєктивної сторони даного правопорушення, а отже і складу правопорушення в цілому.
Ураховуючи наведене, в діях ОСОБА_1 відсутній склад такого адміністративного правопорушення як спроба незаконного перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України, вчиненого групою осіб.
Згідно п. 1) ч. 1 ст. 247 КУпАП провадження в справі про адміністративне правопорушення не може бути розпочато, а розпочате підлягає закриттю за відсутністю події і складу адміністративного правопорушення.
Відповідно до ст. 284 КУпАП постанова про закриття справи виноситься, зокрема, при наявності обставин, передбачених статтею 247 цього Кодексу.
Керуючись ст. ст. 283, 284 КУпАП,
п о с т а н о в и л а:
Закрити провадження у справі про притягнення ОСОБА_1 за відсутністю події і складу адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП.
Постанова набирає законної сили після закінчення строку подання апеляційної скарги, якщо таку не буде подано, та може бути оскаржена в апеляційному порядку шляхом подання апеляційної скарги до Закарпатського апеляційного суду через місцевий суд, який виніс постанову, протягом десяти днів з дня винесення постанови.
Суддя Л. Р. Сас
=== ENTITIES ===
1:11    CASE_NUMBER        307/1322/22
5:1     HEARING_DATE       27 квітня 2022
6:7     COURT_RAYON        Тячівського
6:34    COURT_OBLAST       Закарпатської
7:36    CITIZEN            України
9:121   VPS                Грушово
9:167   VPS                Тячів
9:200   ARR_DATE           22 квітня 2022
9:222   ARR_TIME           19 год. 20 хв.
9:261   CITIZEN            України
9:291   ZNAK               277
9:326   ARR_GROMADA        Тересвянської
9:374   ARR_RAYON          Тячівського
9:393   ARR_OBLAST         Закарпатської
9:539   DIST               100 метрів
9:659   BORDER_CNTRY       Румунії
9:808   GUARD              Прикордонний патруль
9:878   VPS                Грушово
10:73   ARR_DATE           22 квітня 2022
10:101  ARR_TIME           19 год.
18:67   ARR_DATE           22 квітня 2022
18:89   ARR_TIME           19 год. 20 хв.
18:128  CITIZEN            України
18:158  ZNAK               277
18:193  ARR_GROMADA        Тересвянської
18:241  ARR_RAYON          Тячівського
18:260  ARR_OBLAST         Закарпатської
18:406  DIST               100 метрів
18:526  BORDER_CNTRY       Румунії
18:675  GUARD              Прикордонний патруль
18:745  VPS                Грушово
19:29   DET_DATE           22 квітня 2022
19:85   DET_TIME           19 год. 20 хв.
19:100  DET_DATE           22 квітня 2022
20:129  VPS                Грушово
20:175  VPS                Тячів
20:449  DISLOCATION        Тячів
20:573  ARR_TIME           19 год. 20 хв.
20:706  ZNAK               277
20:723  DIST               100 метрів
20:776  ARR_GROMADA        Тересвянської
20:824  ARR_RAYON          Тячівського
20:843  ARR_OBLAST         Закарпатської
21:59   ARR_SETTL          Тячів
21:65   ARR_RAYON          Тячівського
21:84   ARR_OBLAST         Закарпатської
21:121  VPS                Грушово
21:135  VPS                Тячів
21:276  ZNAK               277
21:313  DIST               100 метрів
21:397  VPS                Грушово
21:431  ZNAK               277
21:443  DIST               4200 метрів
21:755  ZNAK               277
21:935  ZNAK               276-278
24:115  BORDER_CNTRY       Румунії
33:1    RESOLUTION         Закрити
