Справа №: 297/4585/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
08 листопада 2024 року м. Берегове
Суддя Берегівського районного суду Закарпатської області Гал Л. Л., розглянувши матеріали, що надійшли з відділу прикордонної служби «ІНФОРМАЦІЯ_1» ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності:
ОСОБА_1, ІНФОРМАЦІЯ_3, уродженця м. Маріуполь, Донецької області та мешканця АДРЕСА_1, громадянина України, непрацюючого,
за ст. 204-1 ч. 2, ст. 185-10 ч. 2 КУпАП,
ВСТАНОВИВ:
06 листопада 2024 року близько 05:05 год. прикордонним нарядом «Прикордонний патруль» на напрямку 197 прикордонного знаку на околиці м. Берегове (територія Великобийганської територіальної громади Берегівського району Закарпатської області), в межах прикордонної смуги на відстані близько 400 метрів від державного кордону, було виявлено та затримано громадянина України ОСОБА_1 спільно з громадянином України ОСОБА_2, при здійсненні спроби незаконного перетину державного кордону з України в Угорщину поза встановленими пунктами пропуску через державний кордон в складі групи осіб. Своїми діями громадянин України ОСОБА_1 порушив вимоги ст. 9, 12 Закону України «Про державний кордон України» від 04.11.1991 року, тобто вчинив правопорушення, відповідальність за яке передбачена ч. 2 ст. 204-1 КУпАП.
Крім того, під час затримання ОСОБА_1 спільно з ОСОБА_2 здійснив злісну непокору законній вимозі військовослужбовця Державної прикордонної служби України під час безпосереднього виконання ним службових обовʼязків, повʼязаних з охороною державного кордону України, а саме: на неодноразово повторювану законну вимогу військовослужбовця ДПСУ зі складу прикордонного наряду «Прикордонний патруль» надати документ, що посвідчує особу, відмовився та вдався до втечі в напрямку державного кордону, чим порушив вимоги ч. 2 ст. 23, ч. 2 ст. 34 Закону України «Про Державну прикордонну службу» від 03.04.2003 року, тобто вчинив правопорушення в складі групи осіб, відповідальність за яке передбачена ч. 2 ст. 185-10 КУпАП.
Відповідно до ст. 36 ч. 2 КУпАП, якщо особа вчинила кілька адміністративних правопорушень, справи про які одночасно розглядаються одним і тим же органом (посадовою особою), стягнення накладається в межах санкції, встановленої за більш серйозне правопорушення з числа вчинених.
У звʼязку з наведеним, вважаю, що дві справи про адміністративні правопорушення відносно ОСОБА_1 за ч. 2 ст. 204-1 КУпАП та ч. 2 ст. 185-10 КУпАП, слід обʼєднати в одне провадження.
ОСОБА_1 в суд не зʼявився. При цьому, в матеріалах справи міститься заява про розгляд справи без його участі.
Отже, за наявності письмової заяви особи, яка притягається до адміністративної відповідальності, та перевіривши матеріали справи, а саме: протоколи про адміністративне правопорушення від 06.11.2024 року, протоколи про адміністративне затримання від 06.11.2024 року, протоколи особистого огляду, огляду речей та вилучення речей і документів від 06.11.2024 року, копію паспорта громадянина України ОСОБА_1, письмові пояснення ОСОБА_1, вважаю, що останній своїми діями скоїв правопорушення передбачене ст. 204-1 ч.2 КУпАП, як спроба незаконного перетину державного кордону з України в Угорщину поза пунктом пропуску через державний кордон України, вчинене групою осіб, та правопорушення, передбачене ч. 2 ст. 185-10 КУпАП, а саме злісна непокора законному розпорядженню чи вимозі військовослужбовця або працівника Державної прикордонної служби України під час виконання ним службових обовʼязків, повʼязаних з охороною державного кордону України, вчинена групою осіб.
Отже, оскільки ОСОБА_1 вчинив два адміністративні правопорушення, з яких порушення передбачене ст. 204-1 ч. 2 КУпАП є більш серйозним, тому стягнення слід накласти в межах санкції ст. 204-1 ч. 2 КУпАП.
При цьому, враховуючи, що ОСОБА_1, вперше притягується до адміністративної відповідальності, вину згідно поданої заяви визнав, вважаю за необхідне застосувати до нього штраф, передбачений санкцією ст. 204-1 ч. 2 КУпАП.
Керуючись ст.ст. 185-10 ч. 2, 204-1 ч. 2, 283, п. 1 ст. 284 КУпАП,
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні правопорушення, передбаченого ч. 2 ст. 204-1 та ч. 2 ст. 185-10 КУпАП, та із застосуванням ч. 2 ст. 36 КУпАП накласти на нього стягнення у вигляді штрафу в розмірі сімсот пʼятдесят неоподатковуваних мінімумів доходів громадян, що становить 12 750 (дванадцять тисяч сімсот пʼятдесят) гривень.
Стягнути із ОСОБА_1 в дохід держави судовий збір в сумі 605 (шістсот пʼять) гривень 60 копійок.
Відповідно до статті 308 КУпАП у разі несплати правопорушником штрафу у строк, установлений частиною першою статті 307 цього Кодексу, постанова про накладення штрафу надсилається для примусового виконання до органу державної виконавчої служби за місцем проживання порушника, роботи або за місцезнаходженням його майна в порядку, встановленому законом.
У порядку примусового виконання постанови про стягнення штрафу за вчинення адміністративного правопорушення з правопорушника стягується подвійний розмір штрафу, визначеного у відповідній статті цього Кодексу та зазначеного у постанові про стягнення штрафу.
Постанова може бути оскаржена особою, яку притягнуто до адміністративної відповідальності протягом десяти днів з дня винесення постанови через цей суд до Закарпатського апеляційного суду.
Суддя Лайош ГАЛ
=== ENTITIES ===
1:11    CASE_NUMBER        297/4585/24
4:1     HEARING_DATE       08 листопада 2024
5:7     COURT_RAYON        Берегівського
5:36    COURT_OBLAST       Закарпатської
5:135   VPS                ІНФОРМАЦІЯ_1
6:37    BIRTH_SETTL        Маріуполь
6:48    BIRTH_OBLAST       Донецької
6:100   CITIZEN            України
9:1     ARR_DATE           06 листопада 2024
9:32    ARR_TIME           05:05 год.
9:65    GUARD              Прикордонний патруль
9:99    ZNAK               197
9:123   ARR_PLACE          на околиці
9:137   ARR_SETTL          Берегове
9:157   ARR_GROMADA        Великобийганської
9:198   ARR_RAYON          Берегівського
9:219   ARR_OBLAST         Закарпатської
9:290   DIST               400 метрів
9:364   CITIZEN            України
9:403   CITIZEN            України
9:494   BORDER_CNTRY       Угорщину
9:608   CITIZEN            України
10:372  GUARD              Прикордонний патруль
14:188  PROTO_DATE         06.11.2024
14:250  DET_DATE           06.11.2024
14:389  PASSPORT           України
14:583  BORDER_CNTRY       Угорщину
19:182  RESOLUTION         штрафу
19:275  FINE               12 750
