Справа №: 307/2018/24
Провадження № 3/307/856/24
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
23 травня 2024 року м. Тячів
Суддя Тячівського районного суду Закарпатської області Чопик В. В., розглянувши справу, яка надійшла із відділу прикордонної служби «ІНФОРМАЦІЯ_1» (тип Б) ІНФОРМАЦІЯ_2 про притягнення до адміністративної відповідальності ОСОБА_1, ІНФОРМАЦІЯ_3, громадянина України, непрацюючого, місце проживання за адресою: АДРЕСА_1, за ч. 2 ст. 204-1 КУпАП,
ВСТАНОВИВ:
05 травня 2024 року о 22 годині 35 хвилин на східній околиці населеного пункту Нижня Апша на напрямку прикордонного знаку № 279 (територія Солотвинської обʼєднаної територіальної громади Тячівського району Закарпатської області) на відстані 400 метрів до лінії державного кордону, в межах прикордонної смуги, прикордонним нарядом «Контрольний пост» виявлено, та прикордонним нарядом «Група реагування» затримано громадянина України ОСОБА_1, який здійснив спробу незаконного перетинання державного кордону з України до Румунії, поза пунктами пропуску через державний кордон, повторно, протягом року. Своїми діями громадянин України ОСОБА_1, порушив вимоги ст. 9, ст. 12 Закону України «Про державний кордон України» від 04.11.1991, тобто вчинив правопорушення, відповідальність за яке передбачено ч. 2 ст. 204-1 КУпАП.
ОСОБА_1 в судове засідання не зʼявився, хоч належним чином повідомлений про час та місце розгляду справи, при цьому, подав суду заяву про розгляд справи в його відсутності.
Дослідивши матеріали справи, суд дійшов висновку, що в діях ОСОБА_1 є склад адміністративного правопорушення, передбачений ч. 2 ст. 204-1 КУпАП як спроба перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України, вчинене групою осіб.
Судом встановлено, що вина ОСОБА_1 у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП стверджується: даними, що містяться у протоколі про адмінправопорушення серії ЗхРУ № 147107 від 06 травня 2024 року, в протоколі про адміністративне затримання від 05 травня 2024 року, в протоколі особистого огляду, огляду речей та вилучення речей і документів від 05.05.2024, письмовими поясненнями ОСОБА_1, ОСОБА_2.
Враховуючи вимоги ст. 33 КУпАП, особу правопорушника, який у заяві вину визнав, вперше притягується до адміністративної відповідальності, обставини вчинення ним правопорушення, вважаю, що відносно ОСОБА_1, слід обрати міру адміністративного стягнення у виді штрафу в розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8 500, 00 (вісім тисяч пʼятсот гривень 00 копійок) гривень без конфіскації знарядь і засобів вчинення правопорушення, оскільки такі знаряддя та засоби відсутні.
Відповідно до ст. 40-1 КУпАП із ОСОБА_1 слід стягнути судовий збір на користь держави.
Керуючись ч. 2 ст. 204-1, ст. ст. 283, 284 КУпАП, суд,
ПОСТАНОВИВ:
Визнати ОСОБА_1 винним у вчиненні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП.
Накласти на ОСОБА_1 за ч. 2 ст. 204-1 КУпАП адміністративне стягнення у виді штрафу в розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8 500,00 (вісім тисяч пʼятсот гривень 00 копійок) гривень.
Стягнути із ОСОБА_1 в користь держави на рахунок спеціального фонду Державного бюджету України 605 (шістсот пʼять) гривень 60 копійок судового збору.
Постанова може бути оскаржена до Закарпатського апеляційного суду протягом 10 днів з дня її винесення.
Постанова набирає законної сили після закінчення строку її оскарження.
Суддя Тячівського
районного суду: В. В. Чопик
=== ENTITIES ===
1:11    CASE_NUMBER        307/2018/24
5:1     HEARING_DATE       23 травня 2024
6:7     COURT_RAYON        Тячівського
6:34    COURT_OBLAST       Закарпатської
6:134   VPS                ІНФОРМАЦІЯ_1
6:257   CITIZEN            України
8:1     ARR_DATE           05 травня 2024
8:23    ARR_TIME           22 годині 35 хвилин
8:43    ARR_PLACE          на східній околиці
8:80    ARR_SETTL          Нижня Апша
8:125   ZNAK               279
8:140   ARR_GROMADA        Солотвинської
8:188   ARR_RAYON          Тячівського
8:207   ARR_OBLAST         Закарпатської
8:242   DIST               400 метрів
8:332   GUARD              Контрольний пост
8:385   GUARD              Група реагування
8:425   CITIZEN            України
8:519   BORDER_CNTRY       Румунії
8:624   CITIZEN            України
11:194  PROTOCOL           ЗхРУ № 147107
11:212  PROTO_DATE         06 травня 2024
11:280  DET_DATE           05 травня 2024
17:78   RESOLUTION         штрафу
17:163  FINE               8 500,00
21:7    COURT_RAYON        Тячівського
