Справа №: 307/1440/22
Провадження № 3/307/709/22
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
10 травня 2022 року м. Тячів
Суддя Тячівського районного суду Закарпатської області Стецюк М. Д., розглянувши матеріали, які надійшли від відділу прикордонної служби ««Тячів» 27 прикордонного загону імені Героїв Карпатської Січі Західного регіонального управління Державної прикордонної служби України про притягнення до адміністративної відповідальності ОСОБА_1, ІНФОРМАЦІЯ_1, громадянина України, жителя АДРЕСА_1, тимчасово проживаючого АДРЕСА_2,
за вчинене правопорушення передбачене ч. 1 ст. 204-1 Кодексу України про адміністративні правопорушення,
розʼяснено права, передбачені ст. 268 КУпАП
ВСТАНОВИВ:
Згідно протоколу про адміністративне правопорушення серія ЗхРУ № 141897 від 09 травня 2022 року ОСОБА_1, 09 травня 2022 року близько 21 год. 20 хв., на напрямку № 259 прикордонного знаку на відстані 10 метрів від лінії державного кордону (територія Тячівської обʼєднаної територіальної громади Тячівського району Закарпатської області) був виявлений та в подальшому затриманий, за спробу незаконного перетину державного кордону з України до Румунії поза пунктами пропуску через державний кордон, чим порушив вимоги ст. 9, 12 Закону України «Про державний кордон України» від 04 листопада 1991 року та вчинив адміністративне правопорушення, відповідальність за яке передбачено ч. 1 ст. 204-1 КУпАП.
ОСОБА_1 в судовому засіданні пояснив, що 09 травня 2022 року близько 21 години 20 хвилин він вигулював собаку на території Тячівської обʼєднаної територіальної громади Тячівського району Закарпатської області. Жодного наміру перетинати державний кордон з України до Румунії поза пунктами пропуску через державний кордон він не мав. Також, зазначив, що йому надано відстрочку від призову на військову службу під час мобілізації та на воєнний час, так як він працює в АТ КБ «ПриватБанк» на посаді заступника керівника Департаменту впровадження та модернізації систем проекту Приват48 ГО.
Захисник-адвокат Полгар М. З. в судовому засіданні просив закрити провадження по справі відносно ОСОБА_1, у звʼязку із відсутністю в його діях складу адміністративного правопорушення, передбаченого ч.1 ст.204-1 КУпАП.
Вислухавши ОСОБА_1, захисника - адвоката Полгар М. З., дослідивши матеріали справи про адміністративне правопорушення суд прийшов до наступного висновку.
Відповідно до ст. 245 КУпАП, завданням провадження у справі про адміністративне правопорушення є: своєчасне, всебічне, повне і обʼєктивне зʼясування обставин кожної справи, вирішення її в точній відповідності з законом.
Згідно ст. 251 КУпАП, доказами у справі про адміністративне правопорушення є будь-які фактичні дані, на основі яких у визначеному законом порядку орган (посадова особа) встановлює наявність чи відсутність адміністративного правопорушення, винність даної особи в його вчиненні та інші обставини, що мають значення для правильного вирішення справи. Ці дані встановлюються протоколом про адміністративне правопорушення, поясненнями особи, яка притягується до адміністративної відповідальності, потерпілих, свідків, висновком експерта, речовими доказами, показаннями технічних приладів та технічних засобів, які використовуються при нагляді за виконанням правил, що мають функції фото - і кінозйомки, відеозапису чи засобів фото - і кінозйомки, відеозапису, норм і стандартів, що стосуються забезпечення безпеки дорожнього руху, а також іншими документами.
Відповідно до положення ст. 280 КУпАП, орган (посадова особа) при розгляді справи про адміністративне правопорушення зобовʼязаний зʼясувати: чи було вчинено адміністративне правопорушення, чи винна дана особа в його вчиненні, чи підлягає вона адміністративній відповідальності, чи є обставини, що помʼякшують і обтяжують відповідальність, а також зʼясувати інші обставини, що мають значення для правильного вирішення справи.
Частиною 1 ст. 204-1 КУпАП передбачено адміністративну відповідальність за перетинання або спробу перетинання державного кордону України будь-яким способом поза пунктами пропуску через державний кордон України або в пунктах пропуску через державний кордон України без відповідних документів або з використанням підробленого документа чи таких, що містять недостовірні відомості про особу, чи без дозволу відповідних органів влади.
В протоколі про адміністративне правопорушення серії ЗхРУ № 141897 від 09 травня 2022 року, зазначено, що ОСОБА_1 09 травня 2022 року близько 21 год. 20 хв., на напрямку № 259 прикордонного знаку на відстані 10 метрів від лінії державного кордону порушив вимоги ст. 9, 12 Закону України «Про державний кордон України» від 04 листопада 1991 року, а саме був виявлений та в подальшому затриманий, за спробу незаконного перетину державного кордону з України до Румунії поза пунктами пропуску через державний кордон.
Із протоколу затримання від 09 травня 2022 року відомо, що ОСОБА_1 був затриманий о 21 год. 20 хв. 09 травня 2022 року на строк до трьох діб з метою зʼясування обставин правопорушення.
З рапорту патрульного Олійник А. від 09 травня 2022 року, вбачається, що близько 21 год. 20 хв. 09 травня 2022 року на напрямку прикордонного знаку № 259 на відстані близько 10 метрів від лінії державного кордону на території Тячівської обʼєднаної територіальної громади Тячівського району Закарпатської області було виявлено та затримано ОСОБА_1.
Із довідки № 20.1.0.0.0/7-220312/27250 від 12 березня 2022 року, видно, що ОСОБА_1 працює в АТ КБ «ПриватБанк» на посаді заступника керівника Департаменту впровадження та модернізації систем проекту Приват48 ГО. Також, даною довідкою підтверджується, що згідно наказу Міністерства економіки України № 392-22 від 10 березня 2022 року «Про бронювання військовозобовʼязаних за акціонерним товариством комерційний банк «ПриватБанк» (порядковий номер працівника згідно списку № 294), працівник заброньований за АТ КБ «Приватбанк» на період мобілізації та воєнний час. Відстрочка від призову на військову службу під час мобілізації складає 6 місяців.
Відповідно до ч. 3 ст. 62 Конституції України обвинувачення не може ґрунтуватися на доказах, одержаних незаконним шляхом, а також на припущеннях. Усі сумніви щодо доведеності вини особи тлумачаться на її користь.
За таких обставин, матеріали справи не містять доказів того, що саме 09 травня 2022 року близько 21 год. 20 хв. ОСОБА_1 здійснив спробу незаконно перетину державний кордон з України до Румунії поза пунктами пропуску через державний кордон, відтак всі досліджені судом докази тлумачаться на користь особи, яка притягається до адміністративної відповідальності.
Відповідно до ст. 284 КУпАП, по справі про адміністративне правопорушення, орган (посадова особа) виносить одну з таких постанов: 1) про накладення адміністративного стягнення; 2) про застосування заходів впливу, передбачених статтею 24-1 цього Кодексу; 3) про закриття справи.
Згідно п. 1 ч.1 ст. 247 Кодексу України про адміністративні правопорушення, провадження, по справі про адміністративне правопорушення не може бути розпочато, а розпочате підлягає закриттю за відсутністю події і складу адміністративного правопорушення.
Враховуючи встановлені судом обставини, суд прийшов до висновку, що в діях ОСОБА_1, відсутній склад адміністративного правопорушення передбаченого ч. 1 ст. 204-1 КУпАП, що у відповідності до п. 1 ч. 1 ст. 247 КУпАП є підставою для закриття провадження у справі.
Таким чином, справа про адміністративне правопорушення відносно ОСОБА_1, за частиною 1 статті 204-1 КУпАП підлягає закриттю відповідно до п. 1 ч. 1 ст. 247 КУпАП.
З огляду на закриття провадження у справі без накладення на особу, яка притягається до адміністративної відповідальності, адміністративного стягнення, судовий збір, в порядкуст.40-1 КУпАП, стягненню не підлягає.
Керуючись ст. ст. 247, 283, 284 КУпАП, -
ПОСТАНОВИВ:
Провадження у справі про притягнення ОСОБА_1 до адміністративної відповідальності за вчинення адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП, закрити на підставі п. 1 ч. 1 ст. 247 КУпАП, у звʼязку з відсутністю у його діях події та складу адміністративного правопорушення.
На постанову може бути подана апеляційна скарга до Закарпатського апеляційного суду через Тячівський районний суд Закарпатської області протягом десяти днів з дня винесення постанови.
Суддя: М. Д. Стецюк
=== ENTITIES ===
1:11    CASE_NUMBER        307/1440/22
5:1     HEARING_DATE       10 травня 2022
6:7     COURT_RAYON        Тячівського
6:34    COURT_OBLAST       Закарпатської
6:140   VPS                Тячів
6:362   CITIZEN            України
10:59   PROTOCOL           ЗхРУ № 141897
10:77   PROTO_DATE         09 травня 2022
10:106  ARR_DATE           09 травня 2022
10:134  ARR_TIME           21 год. 20 хв.
10:164  ZNAK               259
10:200  DIST               10 метрів
10:250  ARR_GROMADA        Тячівської
10:295  ARR_RAYON          Тячівського
10:314  ARR_OBLAST         Закарпатської
10:442  BORDER_CNTRY       Румунії
11:70   ARR_TIME           21 години 20 хвилин
11:124  ARR_GROMADA        Тячівської
11:169  ARR_RAYON          Тячівського
11:188  ARR_OBLAST         Закарпатської
11:267  BORDER_CNTRY       Румунії
18:54   PROTOCOL           ЗхРУ № 141897
18:72   PROTO_DATE         09 травня 2022
18:115  ARR_DATE           09 травня 2022
18:143  ARR_TIME           21 год. 20 хв.
18:173  ZNAK               259
18:209  DIST               10 метрів
18:459  BORDER_CNTRY       Румунії
19:29   DET_DATE           09 травня 2022
19:85   DET_TIME           21 год. 20 хв.
19:100  DET_DATE           09 травня 2022
20:82   ARR_TIME           21 год. 20 хв.
20:97   ARR_DATE           09 травня 2022
20:151  ZNAK               259
20:175  DIST               10 метрів
20:227  ARR_GROMADA        Тячівської
20:272  ARR_RAYON          Тячівського
20:291  ARR_OBLAST         Закарпатської
23:70   ARR_DATE           09 травня 2022
23:98   ARR_TIME           21 год. 20 хв.
23:186  BORDER_CNTRY       Румунії
31:165  RESOLUTION         закрити
