Справа № 170/246/22 Провадження № 3/170/214/22
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
24 червня 2022 року смт. Шацьк
Суддя Шацького районного суду Волинської області Жевнєрова Н. В., розглянувши справу про адміністративне правопорушення, яка надійшла від ВПС "Грабове" 6 прикордонного загону Західного регіонального управління ДПС України, щодо ОСОБА_1, ІНФОРМАЦІЯ_1 громадянина України, жителя АДРЕСА_1, непрацюючого, який до адміністративної відповідальності не притягувався, якому розʼяснено процесуальні права, передбачені ст. 268 КУпАП,
про вчинення правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП,
ВСТАНОВИВ:
10 червня 2022 року об 11 год ОСОБА_2 на території Шацької ОТГ Ковельського району Волинської області, на ділянці відповідальності ВІПС "Грабове", в прикордонній смузі, в районі прикордонного знаку № 1055, на відстані 500 м від державного кордону України, намагався здійснити незаконний перетин державного кордону України поза пунктом пропуску через державний кордон з України в Республіку Польща. Своїми діями ОСОБА_2 порушив вимоги ст. 9 Закону України "Про державний кордон України" та вчинив правопорушення, передбачене ч. 1 ст. 204 -1 КУпАП.
ОСОБА_2 в судове засідання не прибув, в матеріалах справи міститься заява про те, що у випадку неприбуття ОСОБА_2 просить здійснювати розгляд справи у його відсутності.
З урахуванням визначеного строку розгляду справи про адміністративне правопорушення, передбачене ст. 204-1 КУпАП, умов воєнного стану, суд вважає можливим здійснювати розгляд справ щодо ОСОБА_2 за відсутності особи.
Винність ОСОБА_2 у вчиненні даного правопорушення доведена фактичними даними, викладеними в протоколі про адміністративне правопорушення серії ЗхРУ № 237626, матеріалами справи, якими підтверджуються обставини вчинення адміністративного правопорушення, поясненнями ОСОБА_2 в матеріалах справи. З урахуванням характеру вчиненого правопорушення, щодо ОСОБА_2 слід застосувати адміністративне стягнення у виді штрафу. Керуючись ст.ст. 283, 284 КУпАП, на підставі ст. 40-1, ч. 1 ст. 204-1 КУпАП, суддя
ПОСТАНОВИВ:
ОСОБА_1 визнати винним у вчиненні адміністративного правопорушення, передбаченого ч. 1 ст. 204-1 КУпАП, та призначити йому адміністративне стягнення у вигляді штрафу в розмірі 200 (двісті) неоподатковуваних мінімумів доходів громадян, що становить 3 400 грн (три тисячі чотириста гривень).
Стягнути з ОСОБА_2 в дохід держави судовий збір у розмірі 496,20 грн (чотириста девʼяносто шість гривень, 20 копійок).
Реквізити для сплати штрафу: отримувач коштів ГУК у ГУК у Волинській обл./смт. Шацьк/21081100; банк отримувача Казначейство України (ЕАП); код отримувача (код за ЄДРПОУ) 38009371; р/р UA568999980313030106000003462.
Реквізити для сплати судового збору: отримувач коштів ГУК у м. Києві/ м. Київ/22030106; код за ЄДРПОУ: 37993783, банк отримувача: Казначейство України (ЕАП); рахунок отримувача: р/р UA908999980313111256000026001; код класифікації доходів бюджету: 22030106.
На постанову може бути подана апеляційна скарга до Волинського апеляційного суду через Шацький районний суд Волинської області протягом десяти днів з дня її винесення.
Суддя /підпис/ Н. В. Жевнєрова Згідно з оригіналом Суддя Шацького районного суду Волинської області Н. В. Жевнєрова
=== ENTITIES ===
1:10    CASE_NUMBER        170/246/22
4:1     HEARING_DATE       24 червня 2022
5:7     COURT_RAYON        Шацького
5:31    COURT_OBLAST       Волинської
5:144   VPS                Грабове
5:263   CITIZEN            України
8:1     ARR_DATE           10 червня 2022
8:24    ARR_TIME           11 год
8:52    ARR_GROMADA        Шацької
8:64    ARR_RAYON          Ковельського
8:84    ARR_OBLAST         Волинської
8:138   VPS                Грабове
8:201   ZNAK               1055
8:219   DIST               500 м
8:380   BORDER_CNTRY       Республіку Польща
11:144  PROTOCOL           ЗхРУ № 237626
13:160  RESOLUTION         штрафу
13:249  FINE               3 400
18:58   COURT_RAYON        Шацького
18:82   COURT_OBLAST       Волинської
