454/2254/22
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
"26" серпня 2022 р. м. Сокаль
Суддя Сокальського районного суду Львівської області Адамович М. Я., розглянувши матеріали справи про притягнення до адміністративної відповідальності
ОСОБА_1, ІНФОРМАЦІЯ_1, громадянина України, проживаючого по АДРЕСА_1, непрацюючого,
за ч.1 ст.204-1 Кодексу України про адміністративні правопорушення,
ВСТАНОВИВ:
22.08.2022 р. близько 22.00 год. в пункті пропуску «Угринів Долгобичув» на території Сокальської обʼєднаної територіальної громади Червоноградського району Львівської області ОСОБА_1 під час перетинання державного кордону України на вʼїзд предʼявив на паспортний контроль паспорт громадянина України, в якому був відсутній штамп на його виїзд з території України та під час співбесіди встановлено, що останній 14.05.2022 р. незаконно перетнув державний кордон України в Республіку Польща в с. Русин Червоноградського району Львівської області.
Сам ОСОБА_1 в письмових поясненнях свою вину визнав, просив розгляд справи проводити у його відсутності.
Врахувавши пояснення, дослідивши матеріали справи, доходжу наступного висновку.
Статтею 256 КУпАП встановлені вимоги щодо змісту протоколу про адміністративне правопорушення, зокрема, у такому зазначаються: дата і місце його складення, посада, прізвище, імʼя, по батькові особи, яка склала протокол; відомості про особу, яка притягається до адміністративної відповідальності (у разі її виявлення); місце, час вчинення і суть адміністративного правопорушення; нормативний акт, який передбачає відповідальність за дане правопорушення; прізвища, адреси свідків і потерпілих, якщо вони є; пояснення особи, яка притягається до адміністративної відповідальності; інші відомості, необхідні для вирішення справи. Якщо правопорушенням заподіяно матеріальну шкоду, про це також зазначається в протоколі.
Наявний в матеріалах справи протокол про адміністративні правопорушення за своєю формою та змістом відповідає вимогам чинного законодавства.
Викладені в протоколі обставини стверджуються наступними доказами.
Паспортом громадянина України для виїзду за кордон, який видано 26.02.2012 р. на імʼя «ОСОБА_2», в якому відсутні штампи про його виїзд за межі України.
Поясненнями та рапортом, з яких встановлено, що ОСОБА_1 14.05.2022 р. незаконно перетнув державний кордон України в Республіку Польща поза пунктом пропуску на околицях с. Русин Червоноградського району Львівської області.
Вважаю, що в діях особи, яка притягається до адміністративної відповідальності, порушника наявні ознаки порушення, передбаченого ч.1 ст.204-1 КУпАП.
Враховуючи характер даного правопорушення, особу порушника вважаю за доцільне застосувати до нього адміністративне стягнення у виді штрафу, оскільки таке буде достатнім для його виховання та попередження вчинення правопорушень в майбутньому.
Керуючись ст.ст. 283-285 КУпАП,
ПОСТАНОВИВ:
Визнати ОСОБА_1 винуватим у вчиненні адміністративного правопорушення передбаченого ч.1 ст.204-1 КУпАП та накласти на нього адміністративне стягнення у виді штрафу в розмірі 200 (двохсот) неоподаткованих мінімумів доходів громадян, що становить 3400 (три тисячі чотириста) грн.
Стягнути з ОСОБА_1 в дохід держави 496 (чотириста девʼяносто шість) грн. 20 коп. судового збору.
Постанова може бути оскаржена протягом десяти днів з дня її винесення до Львівського апеляційного суду Львівської області шляхом подання апеляційної скарги до Сокальського районного суду.
Суддя: М. Я. Адамович
=== ENTITIES ===
1:1     CASE_NUMBER        454/2254/22
4:1     HEARING_DATE       "26" серпня 2022
5:7     COURT_RAYON        Сокальського
5:35    COURT_OBLAST       Львівської
6:36    CITIZEN            України
9:1     ARR_DATE           22.08.2022
9:23    ARR_TIME           22.00 год.
9:34    ARR_PLACE          в пункті пропуску «Угринів Долгобичув»
9:86    ARR_GROMADA        Сокальської
9:132   ARR_RAYON          Червоноградського
9:157   ARR_OBLAST         Львівської
9:293   PASSPORT           України
9:411   ARR_DATE           14.05.2022
9:471   BORDER_CNTRY       Республіку Польща
9:494   ARR_SETTL          Русин
9:500   ARR_RAYON          Червоноградського
9:525   ARR_OBLAST         Львівської
15:23   PASSPORT           України
16:57   ARR_DATE           14.05.2022
16:117  BORDER_CNTRY       Республіку Польща
16:172  ARR_SETTL          Русин
16:178  ARR_RAYON          Червоноградського
16:203  ARR_OBLAST         Львівської
21:158  RESOLUTION         штрафу
21:246  FINE               3400
