308/766/22
ПОСТАНОВА
ІМЕНЕМ УКРАЇНИ
19.01.2022 м. Ужгород
Суддя Ужгородського міськрайонного суду Закарпатської області Хамник М. М., розглянувши матеріали справи, які надійшли з відділу прикордонної служби «Ужгород» 94 прикордонного загону Західного регіонального управління Державної прикордонної служби України, про притягнення до адміністративної відповідальності
ОСОБА_1 (ОСОБА_2), ІНФОРМАЦІЯ_1, громадянина Афганістану, місце роботи - тимчасово не працює, - за ч. 2 ст. 204-1 КУпАП, -
ВСТАНОВИВ:
Згідно з протоколом про адміністративне правопорушення від 19.01.2022 ЗхРУ № 010930, о 03 год. 30 хв. 14 січня 2022 року громадянин Афганістану ОСОБА_1 (ОСОБА_2) о 15 год. 30 хв. 17 січня 2022 року в порядку Угоди між Україною та Європейським Співтовариством про реадмісію осіб, встановленим порядком був переданий на територію України з Словаччини, який був затриманий 06 січня 2022 року о 02:50 київського часу близько 1700 м від ДК на напрямку 308-309 п/зн, за незаконне перетинання державного кордону з України в Словацьку Республіку, поза межами пунктів пропуску, у складі групи осіб.
Своїми діями порушив вимоги ст. 9 Закону України «Про державний кордон» від 04.11.1991 року, чим вчинив адміністративне правопорушення, передбачене ч. 2 ст. 204-1 КУпАП.
Особа, яка притягається до адміністративної відповідальності громадянин Афганістану ОСОБА_1 (ОСОБА_2), у судове засідання не зʼявився. Разом з тим в матеріалах справи міститься його заява про розгляд справи без його участі та визнає свою вину.
Дослідивши та оцінивши наявні в матеріалах справи докази, суд вважає доведеним скоєння громадянином Афганістану ОСОБА_1 (ОСОБА_2), адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП.
При призначенні адміністративного стягнення суд, виходячи зі змісту ст. 33 КУпАП, враховує характер вчиненого правопорушення, особу порушника, ступінь його вини, майновий стан, обставини, що помʼякшують та обтяжують відповідальність, та вважає за необхідне призначити йому адміністративне стягнення у вигляді штрафу в розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8500,00 грн. (вісім тисяч пʼятсот гривень), оскільки саме цей вид адміністративного стягнення буде відповідати вимогам ст. 23 КУпАП, сприятиме вихованню правопорушника в дусі додержання законів України, поваги до правил співжиття, а також запобіганню вчиненню нових правопорушень як самим правопорушником так і іншими особами.
Відповідно до положень ст. 40-1, ч. 5 ст. 283 КУпАП та п. 5 ч. 2 ст. 4 Закону України «Про судовий збір» з правопорушника слід стягнути судовий збір в розмірі 496,20 грн.
На підставі викладеного, керуючись ст. ст. 33, 40-1, 204-1, 221, 268, 277, 280, 284, 287-291 КУпАП, ст. 4 Закону України «Про судовий збір», суд, -
ПОСТАНОВИВ:
Громадянина Афганістану ОСОБА_1 (ОСОБА_2), ІНФОРМАЦІЯ_1, визнати винним у скоєнні адміністративного правопорушення, передбаченого ч. 2 ст. 204-1 КУпАП та накласти на нього адміністративне стягнення у вигляді штрафу у розмірі пʼятисот неоподатковуваних мінімумів доходів громадян, що становить 8500,00 грн. (вісім тисяч пʼятсот гривень).
Стягнути з Громадянина Афганістану ОСОБА_1 (ОСОБА_2), ІНФОРМАЦІЯ_1, на користь держави судовий збір у розмірі 496 (чотириста девʼяносто шість гривень) 20 коп.
Постанова по справі про адміністративне правопорушення може бути оскаржена особою, щодо якої її винесено, потерпілим, прокурором у випадках, передбачених частиною пʼятою статті 7 цього Кодексу, протягом десяти днів з дня винесення постанови. Апеляційна скарга подається до відповідного апеляційного суду через місцевий суд, який виніс постанову.
Постанова у справі про адміністративне правопорушення набирає законної сили після закінчення строку на її апеляційне оскарження.
Строк звернення постанови для виконання - три місяці з моменту її винесення, якщо інше не встановлено КУпАП та іншими законами України.
Суддя Ужгородського
міськрайонного суду
Закарпатської області М. М. Хамник
=== ENTITIES ===
1:1     CASE_NUMBER        308/766/22
4:1     HEARING_DATE       19.01.2022
5:7     COURT_RAYON        Ужгородського
5:41    COURT_OBLAST       Закарпатської
5:151   VPS                Ужгород
6:46    CITIZEN            Афганістану
8:60    PROTO_DATE         19.01.2022
8:71    PROTOCOL           ЗхРУ № 010930
8:88    ARR_TIME           03 год. 30 хв.
8:103   DET_DATE           14 січня 2022
8:133   CITIZEN            Афганістану
8:165   READM_TIME         15 год. 30 хв.
8:180   READM_DATE         17 січня 2022
8:339   BORDER_CNTRY       Словаччини
8:371   ARR_DATE           06 січня 2022
8:392   ARR_TIME           02:50
8:422   DIST               1700 м
8:448   ZNAK               308-309
8:518   BORDER_CNTRY       Словацьку Республіку
10:73   CITIZEN            Афганістану
16:13   CITIZEN            Афганістану
16:209  RESOLUTION         штрафу
16:294  FINE               8500,00
17:24   CITIZEN            Афганістану
21:7    COURT_RAYON        Ужгородського
23:1    COURT_OBLAST       Закарпатської
